name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
Kepler-1112 b,5452,9.38 Earths,14.74,2016
Kepler-1113 b,3503,8.3 Earths,14.943,2016
Kepler-1106 b,3558,3.36 Earths,14.863,2016
Kepler-1107 b,1399,2.36 Earths,14.315,2016
Kepler-1108 b,2504,2.73 Earths,15.132,2016
Kepler-1109 b,2235,5.43 Earths,14.405,2016
Kepler-110 b,1913,4.01 Earths,13.003,2014
Kepler-110 c,1913,5.52 Earths,13.003,2014
Kepler-1110 b,2371,7.56 Earths,16.274,2016
Kepler-1111 b,2745,4.66 Earths,14.88,2016
Kepler-1112 b,5452,9.38 Earths,14.74,2016
Kepler-1113 b,3503,8.3 Earths,14.943,2016
Kepler-1114 b,1365,2.39 Earths,13.935,2016
Kepler-1115 b,3207,3.53 Earths,11.983,2016
Kepler-1116 b,3290,6.99 Earths,15.424,2016
Kepler-1117 b,1854,1.41 Earths,14.15,2016
Kepler-1118 b,2898,7.95 Earths,15.238,2016
Kepler-1119 b,5732,4.35 Earths,15.296,2016
Kepler-111 b,2144,3.12 Earths,13.543,2014
Kepler-111 c,2144,0.132 Jupiters,13.543,2014
Kepler-1120 b,2007,2.48 Earths,15.494,2016
Kepler-1121 b,1572,4.31 Earths,12.144,2016
Kepler-1122 b,4014,4.82 Earths,15.405,2016
Kepler-1123 b,2298,3.43 Earths,14.933,2016
Kepler-1124 b,946,2.18 Earths,16.745,2016
Kepler-1125 b,6561,4.04 Earths,15.042,2016
Kepler-1126 b,2074,3.64 Earths,14.221,2016
Kepler-1127 b,2748,4.5 Earths,15.162,2016
Kepler-1128 b,3534,12.9 Earths,15.934,2016
Kepler-1129 b,3862,9.06 Earths,15.661,2016
Kepler-1129 c,3862,7.9 Earths,15.661,2016
Kepler-112 b,1674,6.17 Earths,13.927,2014
Kepler-1122 b,4014,4.82 Earths,15.405,2016
Kepler-1123 b,2298,3.43 Earths,14.933,2016
Kepler-1124 b,946,2.18 Earths,16.745,2016
Kepler-1125 b,6561,4.04 Earths,15.042,2016
Kepler-1126 b,2074,3.64 Earths,14.221,2016
Kepler-1127 b,2748,4.5 Earths,15.162,2016
Kepler-1128 b,3534,12.9 Earths,15.934,2016
Kepler-1129 b,3862,9.06 Earths,15.661,2016
Kepler-1129 c,3862,7.9 Earths,15.661,2016
Kepler-112 b,1674,6.17 Earths,13.927,2014
Kepler-116 b,3116,11.6 Earths,13.744,2014
Kepler-116 c,3116,5.9 Earths,13.744,2014
Kepler-1170 b,3427,6.39 Earths,16.204,2016
Kepler-1171 b,1869,7.08 Earths,11.647,2016
Kepler-1172 b,4262,10.3 Earths,16.083,2016
Kepler-1173 b,1230,0.64 Earths,13.896,2016
Kepler-1174 b,4595,3.15 Earths,14.271,2016
Kepler-1175 b,3660,9.22 Earths,15.972,2016
Kepler-1176 b,2821,6.57 Earths,15.27,2016
Kepler-1177 b,4241,4.27 Earths,14.773,2016
Kepler-1160 b,3515,5.22 Earths,16.006,2016
Kepler-1161 b,1787,5.18 Earths,16.163,2016
Kepler-1162 b,3067,5.52 Earths,15.749,2016
Kepler-1163 b,1561,1.08 Earths,12.208,2016
Kepler-1164 b,1408,1.46 Earths,14.321,2016
Kepler-1165 b,5138,3.02 Earths,14.521,2016
Kepler-1166 b,2071,3.5 Earths,14.65,2016
Kepler-1167 b,2678,3.57 Earths,16.047,2016
Kepler-1168 b,2455,6.8 Earths,15.755,2016
Kepler-1169 b,1705,0.779 Earths,12.707,2016
Kepler-1214 b,2379,6.17 Earths,15.459,2016
Kepler-1215 b,2156,1.98 Earths,14.539,2016
Kepler-1216 b,4105,2.51 Earths,15.262,2016
Kepler-1217 b,4396,4.62 Earths,15.343,2016
Kepler-1218 b,2742,2.67 Earths,13.73,2016
Kepler-1219 b,2873,5.14 Earths,12.339,2016
Kepler-121 b,1665,6.08 Earths,14.904,2014
Kepler-121 c,1665,5.77 Earths,14.904,2014
Kepler-1220 b,3138,2.92 Earths,15.194,2016
Kepler-1221 b,2980,4.19 Earths,15.909,2016
Kepler-1206 b,2486,3.33 Earths,15.971,2016
Kepler-1207 b,5722,3.26 Earths,14.595,2016
Kepler-1208 b,2692,5.99 Earths,16.256,2016
Kepler-1209 b,1649,2.89 Earths,12.554,2016
Kepler-120 b,1268,8.5 Earths,14.995,2014
Kepler-120 c,1268,2.96 Earths,14.995,2014
Kepler-1210 b,3838,3.53 Earths,15.649,2016
Kepler-1211 b,5958,7.04 Earths,16.016,2016
Kepler-1212 b,4295,5.22 Earths,15.133,2016
Kepler-1213 b,2635,1.81 Earths,13.416,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-122 d,3352,5.48 Earths,14.403,2014
Kepler-122 e,3352,27.7 Earths,14.403,2014
Kepler-122 f,3352,36 Earths,14.403,2014
Kepler-1230 b,4450,7.8 Earths,15.628,2016
Kepler-1231 b,3220,2.6 Earths,14.808,2016
Kepler-1232 b,2064,4.38 Earths,14.97,2016
Kepler-1233 b,3845,7.27 Earths,14.82,2016
Kepler-1234 b,2990,8.3 Earths,15.915,2016
Kepler-1235 b,1763,0.418 Earths,14.079,2016
Kepler-1236 b,3261,5.22 Earths,16.145,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1237 b,3472,8.55 Earths,16.012,2016
Kepler-1238 b,5324,4.38 Earths,14.919,2016
Kepler-1239 b,6983,8.75 Earths,15.391,2016
Kepler-123 b,3333,0.174 Jupiters,14.129,2014
Kepler-123 c,3333,2.79 Earths,14.129,2014
Kepler-1240 b,2812,1.6 Earths,14.092,2016
Kepler-1241 b,3160,7.41 Earths,15.886,2016
Kepler-1242 b,2243,5.73 Earths,15.714,2016
Kepler-1243 b,2473,3.71 Earths,14.898,2016
Kepler-1244 b,3509,2.39 Earths,12.444,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1245 b,2629,2.67 Earths,15.582,2016
Kepler-1245 c,2629,2.67 Earths,15.582,2016
Kepler-1246 b,1424,2.42 Earths,15.27,2016
Kepler-1247 b,3412,6.04 Earths,15.925,2016
Kepler-1248 b,1934,1.76 Earths,12.9,2016
Kepler-1249 b,6213,6.26 Earths,15.391,2016
Kepler-124 b,1370,0.315 Earths,14.4,2014
Kepler-124 c,1370,3.71 Earths,14.4,2014
Kepler-124 d,1370,1.41 Earths,14.4,2014
Kepler-1250 b,6938,4.35 Earths,15.693,2016
Kepler-1259 b,2628,2.63 Earths,15.556,2016
Kepler-125 b,598,6.21 Earths,15.431,2014
Kepler-125 c,598,0.33 Earths,15.431,2014
Kepler-1260 b,5658,3.78 Earths,14.953,2016
Kepler-1261 b,2428,5.73 Earths,15.817,2016
Kepler-1262 b,3441,3.97 Earths,15.155,2016
Kepler-1263 b,2169,1.55 Earths,15.173,2016
Kepler-1264 b,2616,1.76 Earths,14.629,2016
Kepler-1265 b,1904,2.39 Earths,16.024,2016
Kepler-1266 b,2770,7.18 Earths,16.016,2016
Kepler-1267 b,4500,9.32 Earths,15.846,2016
Kepler-1268 b,6005,4.78 Earths,15.484,2016
Kepler-1269 b,3579,3.29 Earths,13.658,2016
Kepler-126 b,774,2.92 Earths,10.505,2014
Kepler-126 c,774,3.12 Earths,10.505,2014
Kepler-126 d,774,6.8 Earths,10.505,2014
Kepler-1270 b,3572,11 Earths,13.562,2016
Kepler-1271 b,2714,2.79 Earths,14.075,2016
Kepler-1272 b,3935,6.21 Earths,14.734,2016
Kepler-1273 b,3635,6.76 Earths,16.03,2016
Kepler-1274 b,2005,2.6 Earths,11.717,2016
Kepler-1275 b,3764,2.79 Earths,14.595,2016
Kepler-1276 b,1757,1.81 Earths,12.992,2016
Kepler-1277 b,1818,3.19 Earths,14.306,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-1279 b,4874,3.71 Earths,14.137,2016
Kepler-127 b,1151,2.54 Earths,11.746,2014
Kepler-127 c,1151,7.56 Earths,11.746,2014
Kepler-127 d,1151,7.46 Earths,11.746,2014
Kepler-1280 b,4850,4.16 Earths,14.196,2016
Kepler-1274 b,2005,2.6 Earths,11.717,2016
Kepler-1275 b,3764,2.79 Earths,14.595,2016
Kepler-1276 b,1757,1.81 Earths,12.992,2016
Kepler-1277 b,1818,3.19 Earths,14.306,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-1279 b,4874,3.71 Earths,14.137,2016
Kepler-127 b,1151,2.54 Earths,11.746,2014
Kepler-127 c,1151,7.56 Earths,11.746,2014
Kepler-127 d,1151,7.46 Earths,11.746,2014
Kepler-1280 b,4850,4.16 Earths,14.196,2016
Kepler-1274 b,2005,2.6 Earths,11.717,2016
Kepler-1275 b,3764,2.79 Earths,14.595,2016
Kepler-1276 b,1757,1.81 Earths,12.992,2016
Kepler-1277 b,1818,3.19 Earths,14.306,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-1279 b,4874,3.71 Earths,14.137,2016
Kepler-127 b,1151,2.54 Earths,11.746,2014
Kepler-127 c,1151,7.56 Earths,11.746,2014
Kepler-127 d,1151,7.46 Earths,11.746,2014
Kepler-1280 b,4850,4.16 Earths,14.196,2016
Kepler-1274 b,2005,2.6 Earths,11.717,2016
Kepler-1275 b,3764,2.79 Earths,14.595,2016
Kepler-1276 b,1757,1.81 Earths,12.992,2016
Kepler-1277 b,1818,3.19 Earths,14.306,2016
Kepler-1278 b,2901,1.01 Earths,13.782,2016
Kepler-1279 b,4874,3.71 Earths,14.137,2016
Kepler-127 b,1151,2.54 Earths,11.746,2014
Kepler-127 c,1151,7.56 Earths,11.746,2014
Kepler-127 d,1151,7.46 Earths,11.746,2014
Kepler-1280 b,4850,4.16 Earths,14.196,2016
Kepler-128 c,1293,0.9 Earths,11.693,2013
Kepler-1290 b,5199,2.6 Earths,15.871,2016
Kepler-1291 b,2927,3.39 Earths,16.261,2016
Kepler-1292 b,4872,3.97 Earths,16.337,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-128 c,1293,0.9 Earths,11.693,2013
Kepler-1290 b,5199,2.6 Earths,15.871,2016
Kepler-1291 b,2927,3.39 Earths,16.261,2016
Kepler-1292 b,4872,3.97 Earths,16.337,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-128 c,1293,0.9 Earths,11.693,2013
Kepler-1290 b,5199,2.6 Earths,15.871,2016
Kepler-1291 b,2927,3.39 Earths,16.261,2016
Kepler-1292 b,4872,3.97 Earths,16.337,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-128 c,1293,0.9 Earths,11.693,2013
Kepler-1290 b,5199,2.6 Earths,15.871,2016
Kepler-1291 b,2927,3.39 Earths,16.261,2016
Kepler-1292 b,4872,3.97 Earths,16.337,2016
Kepler-1293 b,3354,0.871 Earths,13.377,2016
Kepler-1294 b,6053,10.3 Earths,15.361,2016
Kepler-1295 b,3831,3.02 Earths,16.227,2016
Kepler-1296 b,5061,0.693 Earths,14.934,2016
Kepler-1297 b,4696,0.871 Earths,14.867,2016
Kepler-1298 b,1775,2.27 Earths,11.388,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,6.21 Earths,11.809,2014
Kepler-129 c,1334,7.04 Earths,11.809,2014
Kepler-12 b,2875,0.432 Jupiters,13.468,2011
Kepler-1300 b,2535,2.45 Earths,12.861,2016
Kepler-1301 b,2787,2.54 Earths,15.656,2016
Kepler-1302 b,2070,2.63 Earths,15.172,2016
Kepler-1303 b,2929,2.6 Earths,14.854,2016
Kepler-1304 b,7098,5.86 Earths,15.408,2016
Kepler-1305 b,5138,4.19 Earths,15.834,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,6.21 Earths,11.809,2014
Kepler-129 c,1334,7.04 Earths,11.809,2014
Kepler-12 b,2875,0.432 Jupiters,13.468,2011
Kepler-1300 b,2535,2.45 Earths,12.861,2016
Kepler-1301 b,2787,2.54 Earths,15.656,2016
Kepler-1302 b,2070,2.63 Earths,15.172,2016
Kepler-1303 b,2929,2.6 Earths,14.854,2016
Kepler-1304 b,7098,5.86 Earths,15.408,2016
Kepler-1305 b,5138,4.19 Earths,15.834,2016
Kepler-1299 b,4583,9.17 Earths,15.962,2016
Kepler-129 b,1334,6.21 Earths,11.809,2014
Kepler-129 c,1334,7.04 Earths,11.809,2014
Kepler-12 b,2875,0.432 Jupiters,13.468,2011
Kepler-1300 b,2535,2.45 Earths,12.861,2016
Kepler-1301 b,2787,2.54 Earths,15.656,2016
Kepler-1302 b,2070,2.63 Earths,15.172,2016
Kepler-1303 b,2929,2.6 Earths,14.854,2016
Kepler-1304 b,7098,5.86 Earths,15.408,2016
Kepler-1305 b,5138,4.19 Earths,15.834,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1306 b,3613,4.31 Earths,15.353,2016
Kepler-1307 b,3310,6.66 Earths,15.636,2016
Kepler-1308 b,368,0.0933 Earths,16.4,2016
Kepler-1309 b,2756,6.21 Earths,16.5119,2016
Kepler-130 b,1033,1.04 Earths,11.572,2014
Kepler-130 c,1033,8.75 Earths,11.572,2014
Kepler-130 d,1033,3.33 Earths,11.572,2014
Kepler-1310 b,1857,2.67 Earths,14.346,2016
Kepler-1311 b,2826,2.07 Earths,13.528,2016
Kepler-1311 c,2826,1.98 Earths,13.528,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1320 b,2112,3.53 Earths,15.936,2016
Kepler-1321 b,2509,21.5 Earths,17.5054,2016
Kepler-1321 c,2509,6.35 Earths,17.5054,2016
Kepler-1322 b,4405,3.22 Earths,15.876,2016
Kepler-1323 b,1518,2.92 Earths,12.444,2016
Kepler-1324 b,1571,2.89 Earths,15.554,2016
Kepler-1325 b,3175,8.55 Earths,15.311,2016
Kepler-1326 b,2278,16.3 Earths,12.842,2016
Kepler-1327 b,2212,3.89 Earths,13.966,2016
Kepler-1328 b,2654,0.904 Earths,13.969,2016
Kepler-1335 b,2028,2.7 Earths,15.248,2016
Kepler-1336 b,3675,4.58 Earths,14.264,2016
Kepler-1336 c,3675,3.57 Earths,14.264,2016
Kepler-1337 b,1963,6.39 Earths,16.21,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1339 b,1210,0.285 Earths,12.344,2016
Kepler-133 b,2132,3.75 Earths,12.896,2014
Kepler-133 c,2132,8.45 Earths,12.896,2014
Kepler-1340 b,3203,3.02 Earths,15.003,2016
Kepler-1341 b,1556,9.22 Earths,15.356,2016
Kepler-1335 b,2028,2.7 Earths,15.248,2016
Kepler-1336 b,3675,4.58 Earths,14.264,2016
Kepler-1336 c,3675,3.57 Earths,14.264,2016
Kepler-1337 b,1963,6.39 Earths,16.21,2016
Kepler-1338 b,2457,0.721 Earths,13.699,2016
Kepler-1339 b,1210,0.285 Earths,12.344,2016
Kepler-133 b,2132,3.75 Earths,12.896,2014
Kepler-133 c,2132,8.45 Earths,12.896,2014
Kepler-1340 b,3203,3.02 Earths,15.003,2016
